Graphics v 0.2.5 ';' exported '2021-12-22 09:38:36'
;Record #0;;;;;;;;;
;Cycle #3;"";;;;;;;;
time ( min.);detect H-AE-3020;collection valve;reference point;flow;column P.;T°;Comp. Th.;Slope;detect H-AE-3010;
0.243333;1.32875;0;0;396.991;16.7517;25.0854;100;-15.0388;1.72326;
0.246667;1.30128;0;0;397.093;16.21;25.0834;100;-15.0388;1.69578;
0.25;1.27772;0;0;396.608;17.0481;25.0814;100;-14.4848;1.66045;
0.253333;1.25417;0;0;398.803;16.2983;25.0814;100;-14.0081;1.6212;
0.256667;1.22081;0;0;400.64;18.108;25.0775;100;-14.0081;1.59961;
0.26;1.19922;0;0;399.237;17.9627;25.0775;100;-13.5057;1.56035;
0.263333;1.17959;0;0;399.721;16.7085;25.0775;100;-12.9584;1.52503;
0.266667;1.14033;0;0;400.181;17.9588;25.0795;100;-12.9584;1.50344;
0.27;1.1266;0;0;401.303;16.5083;25.0834;100;-12.4548;1.46418;
0.273333;1.09715;0;0;400.563;17.8037;25.0834;100;-12.4548;1.43867;
0.276667;1.07556;0;0;399.185;16.2728;25.0854;100;-12.0017;1.41315;
0.28;1.04416;0;0;396.557;17.3739;25.0854;100;-11.626;1.37586;
0.283333;1.0265;0;0;397.629;16.5555;25.0854;100;-11.626;1.35427;
0.286667;0.999019;0;0;399.849;17.0422;25.0873;100;-11.294;1.32287;
0.29;0.975466;0;0;401.865;17.6997;25.0932;100;-11.294;1.30128;
0.293333;0.953876;0;0;402.707;17.054;25.0972;100;-10.9699;1.2738;
0.296667;0.924436;0;0;398.471;18.2905;25.1011;100;-10.5627;1.24239;
0.3;0.906771;0;0;398.777;16.3808;25.103;100;-10.5627;1.22081;
0.303333;0.883219;0;0;399.721;17.2306;25.107;100;-10.1926;1.20118;
0.306667;0.855741;0;0;399.288;16.2591;25.1089;100;-9.79448;1.16977;
0.31;0.832188;0;0;399.313;17.4328;25.1089;100;-9.79448;1.158;
0.313333;0.802748;0;0;397.961;16.3788;25.1227;100;-9.35707;1.12267;
0.316667;0.790972;0;0;398.114;17.0873;25.1266;100;-8.97799;1.10501;
0.32;0.761531;0;0;397.68;16.6928;25.1364;100;-8.97799;1.07949;
0.323333;0.749755;0;0;401.201;16.8086;25.1384;100;-8.61237;1.06968;
0.326667;0.726202;0;0;402.018;18.0628;25.1443;100;-8.61237;1.05201;
0.33;0.708538;0;0;402.222;16.5456;25.1462;100;-8.24113;1.02846;
0.333333;0.686948;0;0;397.45;17.7586;25.1502;100;-7.8643;1.01865;
0.336667;0.65947;0;0;399.645;16.3533;25.1521;100;-7.8643;0.977429;
0.34;0.63788;0;0;398.012;17.3523;25.1541;100;-7.51661;7.48577;
0.343333;0.616291;0;0;400.538;16.5829;25.1541;100;32.9264;14.9931;
0.346667;0.602552;0;6;402.349;17.2267;25.156;100;32.9264;14.5927;
0.35;0.575074;0;6;400.359;17.8273;25.156;100;92.8047;13.3621;
0.353333;0.559372;0;6;400.563;17.0108;25.158;100;92.8047;12.4985;
0.356667;0.529931;0;6;400.461;16.7615;25.158;100;154.872;11.841;
0.36;0.52208;0;6;401.227;17.1992;25.16;100;204.522;11.6703;
0.363333;0.504416;0;6;401.099;17.7978;25.1619;100;204.522;11.3189;
0.366667;0.482826;0;6;399.951;16.3199;25.1639;100;227.983;10.9264;
0.37;0.463199;0;6;397.757;17.2934;25.1678;100;211.648;10.475;
0.373333;0.433759;0;6;398.777;16.4867;25.1717;100;211.648;10.055;
0.376667;0.427871;0;6;400.563;17.8489;25.1717;100;199.501;10.002;
0.38;0.408243;0;6;402.579;17.5878;25.1717;100;199.501;9.88616;
0.383333;0.386654;0;6;403.191;17.054;25.1717;100;190.115;9.78803;
0.386667;0.368989;0;6;399.109;16.7615;25.1717;100;182.515;9.64082;
0.39;0.339549;0;6;400.206;16.3651;25.1698;100;182.515;9.56624;
0.393333;0.329735;0;6;399.262;16.9009;25.1678;100;177.12;9.57017;
0.396667;0.308145;0;6;400.461;16.0805;25.1658;100;133.922;9.50932;
0.4;0.298332;0;6;400.41;17.5525;25.1658;100;133.922;9.45829;
0.403333;0.276742;0;6;398.037;16.3003;25.1639;100;72.4631;8.86163;
0.406667;0.257115;0;6;399.874;17.2424;25.1658;100;72.4631;8.41806;
0.41;0.23945;0;6;398.93;16.7341;25.1619;100;6.71583;6.76938;
0.413333;0.227674;0;6;401.839;17.2326;25.1619;100;-52.9695;6.56722;
0.416667;0.211973;0;6;401.15;16.7988;25.16;100;-52.9695;6.41021;
0.42;0.192345;0;6;399.951;17.423;25.158;100;-89.8123;7.22081;
0.423333;0.178606;0;6;397.629;17.6389;25.156;100;-86.2481;6.85574;
0.426667;0.155054;0;6;400.359;15.9627;25.156;100;-86.2481;6.98528;
0.43;0.147203;0;6;399.466;17.5898;25.1541;100;-83.045;6.60451;
0.433333;0.123651;0;6;400.385;16.5967;25.1521;100;-80.0381;5.65849;
0.436667;0.109912;0;6;399.466;17.8764;25.1482;100;-80.0381;4.17861;
0.44;0.104024;0;6;399.083;16.9774;25.1443;100;-80.1694;3.62708;
0.443333;0.0883219;0;6;399.568;17.2424;25.1384;100;-80.1694;4.87733;
0.446667;0.0647694;0;6;399.185;17.6781;25.1384;100;-81.4682;4.77723;
0.45;0.0510304;0;6;400.538;16.8126;25.1345;100;-81.0262;6.66339;
0.453333;0.0314033;0;6;402.987;16.581;25.1305;100;-81.0262;5.37978;
0.456667;0.0215898;0;6;400.385;17.3641;25.1286;100;-80.434;4.46909;
0.46;0.00588812;0;6;398.905;17.6683;25.1266;100;-79.1083;3.65653;
0.463333;0;0;6;399.083;16.0451;25.1246;100;-79.1083;3.24043;
0.466667;0;0;6;399.772;17.6251;25.1187;100;-75.7762;3.04416;
0.47;0;0;6;401.763;16.9676;25.1168;100;-75.7762;2.87537;
0.473333;0;0;6;398.548;18.2453;25.1129;100;-77.3027;2.93425;
0.476667;0;0;6;397.935;17.6173;25.1129;100;-78.4231;3.15996;
0.48;0;0;6;398.522;16.738;25.1109;100;-78.4231;3.68597;
0.483333;0;0;6;398.063;17.3935;25.1089;100;-73.624;4.50638;
0.486667;0;0;6;399.696;16.2983;25.105;100;-73.624;4.73013;
0.49;0;0;6;401.788;17.2228;25.0972;100;-61.8231;5.07164;
0.493333;0;0;6;400.436;16.3651;25.0972;100;-44.1093;5.13248;
0.496667;0;0;6;400.665;17.525;25.0952;100;-44.1093;5.19333;
0.5;0;0;6;400.742;17.2051;25.0913;100;-26.3799;5.19333;
0.503333;0;0;6;403.064;17.3916;25.0893;100;-15.1588;5.17959;
0.506667;0;0;6;402.809;16.7655;25.0854;100;-15.1588;5.08734;
0.51;0;0;6;401.048;16.9225;25.0834;100;-9.51412;5.0579;
0.513333;0;0;6;397.961;17.3386;25.0775;100;-9.51412;4.98528;
0.516667;0;0;6;398.114;16.104;25.0736;100;-5.75018;4.91658;
0.52;0;0;6;400.385;17.2286;25.0677;100;0.440772;4.7949;
0.523333;0;0;6;400.078;16.7301;25.0658;100;0.440772;4.70854;
0.526667;0;0;6;402.196;17.5604;25.0638;100;14.0204;4.66732;
0.53;0;0;6;399.9;16.7537;25.0599;100;26.1825;4.579;
0.533333;0;0;6;399.415;17.5662;25.0579;100;26.1825;4.4946;
0.536667;0;0;6;398.088;17.317;25.054;100;28.3269;4.40628;
0.54;0;0;6;399.262;17.0383;25.0481;100;28.3269;4.32581;
0.543333;0;0;6;401.865;16.4809;25.0422;100;20.826;4.20216;
0.546667;0;0;6;398.318;17.8626;25.0402;100;8.69423;4.15505;
0.55;0;0;6;398.344;17.7017;25.0383;100;8.69423;4.07458;
0.553333;0;0;6;398.65;16.1433;25.0383;100;-4.45258;4.00392;
0.556667;0;0;6;400.614;17.3091;25.0363;100;-15.0815;3.89794;
0.56;0;0;6;401.609;16.6084;25.0402;100;-15.0815;3.82925;
0.563333;0;0;6;401.66;17.8705;25.0402;100;-21.4463;3.75074;
0.566667;0;0;6;397.068;17.6683;25.0422;100;-21.4463;3.65849;
