Graphics v 0.2.5 ';' exported '2021-12-22 09:40:29'
;Record #0;;;;;;;;;
;Cycle #6;"";;;;;;;;
time ( min.);detect H-AE-3020;collection valve;reference point;flow;column P.;T°;Comp. Th.;Slope;detect H-AE-3010;
0;100;0;0;0;0.800785;22.3533;0;0.0240871;4.18253;
0.00333333;100;1;0;0;0.800785;22.3494;0;0.0240871;4.09813;
0.00666667;100;1;0;0;0.79686;22.3494;0;0.0240871;3.98234;
0.01;100;1;0;0;0.79686;22.3474;0;0.0240871;3.8999;
0.0133333;100;1;0;0;0.794897;22.3454;0;0.0240871;3.81943;
0.0166667;100;1;0;0;0.800785;22.3454;0;0.0240871;3.71933;
0.02;100;1;0;0;0.834151;22.3435;0;0.0240871;3.64671;
0.0233333;100;1;0;0;0.851816;22.3435;0;0.0240871;3.56232;
0.0266667;100;1;0;0;0.902846;22.3415;0;0.0240871;3.47203;
0.03;100;1;0;0;0.928361;22.3396;0;0.0240871;3.40334;
0.0333333;100;1;0;0;0.965653;22.3396;0;0.0240871;3.32483;
0.0366667;100;1;0;0;1.00687;22.3415;0;0.0240871;3.24828;
0.04;100;1;0;0.0255152;1.05201;22.3415;0;0.0240871;3.18548;
0.0433333;100;1;0;0;1.09127;22.3415;0;0.0240871;3.10697;
0.0466667;100;1;0;0;1.14819;22.3415;0;0.0240871;3.04024;
0.05;100;1;0;0;1.15603;22.3415;0;0.0240871;2.97743;
0.0533333;100;1;0;0;1.23651;22.3435;0;0.0240871;2.91266;
0.0566667;100;1;0;0;1.32287;22.3435;0;0.0240871;2.85181;
0.06;100;1;0;0;1.41708;22.3435;0;0.0240871;2.78901;
0.0633333;100;1;0;0;1.48185;22.3435;0;0.0240871;2.72228;
0.0666667;100;1;0;0;1.58391;22.3435;0;0.0240871;2.66536;
0.07;100;1;0;0;1.75859;22.3435;0;0.0240871;2.61237;
0.0733333;100;1;0;0;1.85476;22.3435;0;0.0240871;2.55348;
0.0766667;100;1;0;0;2.00196;22.3474;0;0.0240871;2.50442;
0.08;100;1;0;1.73503;2.17861;22.3513;0;0.0240871;2.44553;
0.0833333;100;1;0;8.57311;2.18842;22.3533;0;0.0240871;2.39647;
0.0866667;100;1;0;48.4024;2.54563;22.3572;0;0.0240871;2.35329;
0.09;100;1;0;76.1629;2.66536;22.3592;0;0.0240871;2.29637;
0.0933333;100;1;0;92.8243;2.95388;22.3631;0;0.0240871;2.24926;
0.0966667;100;1;0;99.3307;3.13837;22.3631;0;0.0240871;2.20805;
0.1;100;1;0;100.887;3.35034;22.3651;0;0.0240871;2.15898;
0.103333;100;1;0;118.416;4.08832;22.3651;0;0.0240871;2.1158;
0.106667;100;1;0;158.705;4.61629;22.3651;0;0.0240871;2.08047;
0.11;100;1;0;201.876;5.21884;22.3631;0;0.0240871;2.03533;
0.113333;100;1;0;243.568;6.42198;22.3631;0;0.0240871;2.00785;
0.116667;100;1;0;307.331;7.2895;22.3631;0;0.0240871;1.96271;
0.12;100;1;0;362.648;7.92345;22.3611;0;0.0240871;1.92345;
0.123333;100;1;0;439.602;8.13935;22.3611;0;0.0240871;1.88813;
0.126667;100;1;0;510.917;8.52012;22.3631;0;0.0240871;1.84691;
0.13;100;1;0;547.174;9.01276;22.3651;0;0.0240871;1.81354;
0.133333;100;1;0;598.332;9.2581;22.371;0;0.0240871;1.77821;
0.136667;100;1;0;681.282;9.12267;22.3768;0;0.0240871;1.73896;
0.14;100;1;0;734.481;8.29833;22.3788;0;0.0240871;1.72129;
0.143333;100;1;0;758.72;8.61825;22.3827;0;0.0240871;1.6683;
0.146667;100;1;0;764.334;8.10206;22.3847;0;0.0240871;1.63886;
0.15;100;1;0;739.456;8.14917;22.3847;0;0.0240871;1.61138;
0.153333;100;1;0;699.78;7.87046;22.3945;0;0.0240871;1.56624;
0.156667;100;1;0;646.989;7.46418;22.4043;0;0.0240871;1.54073;
0.16;100;1;0;599.863;7.29539;22.4122;0;0.0240871;1.51914;
0.163333;100;1;0;556.206;7.02453;22.42;0;0.0240871;1.47399;
0.166667;100;1;0;519.719;6.73798;22.4259;0;0.0240871;1.4524;
0.17;100;1;0;496.832;6.71246;22.4279;0;0.0240871;1.43081;
0.173333;100;1;0;486.422;6.90873;22.4338;0;0.0240871;1.38763;
0.176667;100;1;0;480.069;7.19725;22.4436;0;0.0240871;1.36801;
0.18;100;1;0;479.711;7.14622;22.4534;0;0.0240871;1.34642;
0.183333;100;1;0;478.487;7.41119;22.473;0;0.0240871;1.3052;
0.186667;100;1;0;475.17;7.36016;22.4848;0;0.0240871;1.28754;
0.19;100;1;0;470.5;7.41315;22.4926;0;0.0240871;1.25221;
0.193333;100;1;0;463.127;7.22669;22.5025;0;0.0240871;1.22473;
0.196667;100;1;0;458.1;7.21884;22.5083;0;0.0240871;1.21492;
0.2;100;1;0;452.742;7.39745;22.5142;0;0.0240871;1.17762;
0.203333;100;1;0;448.226;7.28361;22.5221;0;0.0240871;1.158;
0.206667;100;1;0;445.929;7.26202;22.528;0;0.0240871;1.14033;
0.21;100;1;0;442.408;7.43866;22.5339;0;0.0240871;1.10893;
0.213333;100;1;0;441.49;7.48577;22.5358;0;0.0240871;1.09715;
0.216667;100;1;0;441.668;7.25613;22.5417;0;0.0240871;1.06771;
0.22;100;1;0;440.418;7.34249;22.5456;0;0.0240871;1.04416;
0.223333;100;1;0;438.224;7.46026;22.5476;0;0.0240871;1.03238;
0.226667;100;1;0;434.805;7.23062;22.5535;0;0.0240871;0.999019;
0.23;100;1;0;434.167;7.23847;22.5574;0;0.0240871;0.973503;
0.233333;100;1;0;431.922;7.3896;22.5613;0;0.0240871;2.63396;
0.236667;100;1;0;430.314;7.19921;22.5653;0;0.0240871;13.8057;
0.24;100;1;0;428.171;7.35231;22.5692;0;0.0240871;15.9549;
0.243333;100;1;0;423.884;7.18155;22.5692;0;0.0240871;14.6791;
0.246667;100;1;0;423.884;6.93425;22.5711;0;0.0240871;13.3032;
0.25;100;1;0;422.659;7.11874;22.5731;0;0.0240871;12.9578;
0.253333;100;1;0;422.659;6.87537;22.577;0;0.0240871;12.6693;
0.256667;100;1;0;421.256;7.04416;22.579;0;0.0240871;12.2198;
0.26;100;1;0;416.663;7.10697;22.579;0;0.0240871;11.8371;
0.263333;100;1;0;416.026;6.74583;22.581;0;0.0240871;11.421;
0.266667;100;1;0;410.718;6.73013;22.5829;0;0.0240871;10.9755;
0.27;100;1;0;411.433;6.46712;22.5829;0;0.0240871;10.7635;
0.273333;100;1;0;411.892;6.93032;22.5888;0;0.0240871;10.6536;
0.276667;100;1;0;408.907;6.86752;22.6006;0;0.0240871;10.5535;
0.28;100;1;0;406.534;6.895;22.6065;0;0.0240871;10.4867;
0.283333;100;1;0;406.126;6.94799;22.6104;0;0.0240871;10.3886;
0.286667;100;1;0;393.955;6.55348;22.6182;0;0.0240871;10.3003;
0.29;100;1;0;397.91;6.94014;22.6241;0;0.0240871;10.2355;
0.293333;100;1;0;402.783;6.9578;22.6281;0;0.0240871;10.1609;
0.296667;100;1;0;399.619;7.10304;22.632;0;0.0240871;10.0196;
0.3;100;1;0;403.064;6.98135;22.634;0;0.0240871;9.96467;
0.303333;100;1;0;390.918;6.79686;22.6418;0;0.0240871;8.32777;
0.306667;100;1;0;397.246;6.96173;22.6438;0;0.0240871;7.46026;
0.31;100;1;0;404.212;7.05201;22.6477;0;0.0240871;6.63003;
0.313333;100;1;0;397.45;7.07556;22.6497;0;0.0240871;6.10402;
0.316667;100;1;0;400.997;6.53974;22.6497;0;0.0240871;6.79882;
0.32;100;1;0;363.694;6.65751;22.6516;0;0.0240871;6.06673;
0.323333;100;1;0;372.165;6.04514;22.6497;0;0.0240871;7.07949;
0.326667;100;1;0;376.987;6.62807;22.6497;0;0.0240871;7.54465;
0.33;100;1;0;370.022;7.28557;22.6477;0;0.0240871;7.2051;
0.333333;100;1;0;374.232;6.73601;22.6457;0;0.0240871;7.61727;
0.336667;100;1;0;327.845;6.76153;22.6457;0;0.0240871;6.75368;
0.34;100;1;0;319.578;4.55545;22.6457;0;0.0240871;7.12267;
0.343333;100;1;0;348.027;6.73209;22.6438;0;0.0240871;5.11482;
0.346667;100;1;0;315.955;7.04416;22.6418;0;0.0240871;4.24534;
0.35;100;1;0;288.373;5.58587;22.6438;0;0.0240871;4.68891;
0.353333;100;1;0;278.141;5.07949;22.6418;0;0.0240871;6.07262;
0.356667;100;1;0;321.007;6.15309;22.6418;0;0.0240871;6.85378;
0.36;100;1;0;297.609;7.158;22.6438;0;0.0240871;7.1423;
0.363333;100;1;0;269.492;5.74681;22.6457;0;0.0240871;7.21295;
0.366667;100;1;0;294.216;5.30324;22.6457;0;0.0240871;7.21295;
0.37;100;1;0;305.851;7.59764;22.6457;0;0.0240871;7.18548;
0.373333;100;1;0;289.393;6.33366;22.6457;0;0.0240871;7.15015;
0.376667;100;1;0;291.18;5.61531;22.6497;0;0.0240871;7.09323;
0.38;100;1;0;325.625;7.07556;22.6536;0;0.0240871;7.04416;
0.383333;100;1;0;337.311;6.91266;22.6575;0;0.0240871;6.99902;
0.386667;100;1;0;343.231;6.18057;22.6575;0;0.0240871;6.94406;
0.39;100;1;0;381.708;6.91266;22.6614;0;0.0240871;6.89303;
