Graphics v 0.2.5 ';' exported '2021-12-22 09:35:34'
;Record #0;;;;;;;;;
;Cycle #1;"";;;;;;;;
time ( min.);detect H-AE-3020;collection valve;reference point;flow;column P.;T°;Comp. Th.;Slope;detect H-AE-3010;
0;0.423945;0;0;0.153091;0.410206;29.8076;100;0.0274658;7.84102;
0.00333333;0.425908;1;0;0.178606;0.410206;29.8076;100;0.0274658;7.79391;
0.00666667;0.423945;1;0;0.153091;0.410206;29.8096;100;0.0274658;7.71148;
0.01;0.429833;1;0;0.153091;0.410206;29.8116;100;0.0274658;7.67223;
0.0133333;0.429833;1;0;0.561335;0.408243;29.8135;100;0.0274658;7.55839;
0.0166667;0.421982;1;0;9.54269;0.459274;29.8155;100;0.0274658;7.40334;
0.02;0.423945;1;0;24.0608;0.539745;29.8175;100;0.0274658;6.5103;
0.0233333;0.429833;1;0;41.4367;0.547596;29.8175;100;0.0274658;5.14818;
0.0266667;0.435721;1;0;58.787;0.555447;29.8175;100;0.0274658;4.74387;
0.03;0.431796;1;0;73.79;0.563297;29.8175;100;0.0274658;4.62414;
0.0333333;0.435721;1;0;85.2208;0.56526;29.8155;100;0.0274658;4.09617;
0.0366667;0.427871;1;0;93.4622;0.56526;29.8155;100;0.0274658;4.73013;
0.04;0.435721;1;0;98.948;0.56526;29.8135;100;0.0274658;3.21099;
0.0433333;0.433759;1;0;102.367;0.56526;29.8135;100;0.0274658;4.64377;
0.0466667;0.421982;1;0;104.051;0.56526;29.8116;100;0.0274658;5.92738;
0.05;0.433759;1;0;105.072;0.56526;29.8096;100;0.0274658;5.31698;
0.0533333;0.439647;1;0;105.812;0.563297;29.8096;100;0.0274658;5.5682;
0.0566667;0.435721;1;0;106.398;0.56526;29.8096;100;0.0274658;5.9529;
0.06;0.431796;1;0;106.705;0.56526;29.8194;100;0.0274658;3.93327;
0.0633333;0.441609;1;0;106.96;0.569185;29.8332;100;0.0274658;5.14033;
0.0666667;0.437684;1;0;110.175;0.573111;29.841;100;0.0274658;4.02159;
0.07;0.437684;1;0;117.855;0.665358;29.8489;100;0.0274658;2.85181;
0.0733333;0.431796;1;0;131.582;0.728165;29.8528;100;0.0274658;2.37488;
0.0766667;0.439647;1;0;152.428;0.824337;29.8587;100;0.0274658;2.09029;
0.08;0.443572;1;0;175.953;0.999019;29.8646;100;0.0274658;1.8842;
0.0833333;0.445535;1;0;195.191;1.00883;29.8744;100;0.0274658;1.73896;
0.0866667;0.439647;1;0;203.662;1.00294;29.8803;100;0.0274658;1.65653;
0.09;0.435721;1;0;224.968;1.00294;29.8979;100;0.0274658;1.47596;
0.0933333;0.439647;1;0;236.449;1.00883;29.9058;100;0.0274658;1.38175;
0.0966667;0.441609;1;0;247.038;1.0422;29.9136;100;0.0274658;1.28165;
0.1;0.439647;1;0;255.918;1.07556;29.9195;100;0.0274658;1.20707;
0.103333;0.443572;1;0;264.159;1.09912;29.9235;100;0.0274658;1.13837;
0.106667;0.447498;1;0;267.859;1.10697;29.9274;100;0.0274658;1.10697;
0.11;0.44946;1;0;277.861;1.11678;29.945;100;0.0274658;1.02846;
0.113333;0.445535;1;0;284.214;1.14033;29.9549;100;0.0274658;0.975466;
0.116667;0.447498;1;0;291.001;1.16389;29.9647;100;0.0274658;0.938175;
0.12;0.447498;1;0;297.533;1.25613;29.9725;100;0.0274658;0.908734;
0.123333;0.443572;1;0;301.13;1.26595;29.9745;100;0.0274658;0.887144;
0.126667;0.447498;1;0;310.01;1.32875;29.9823;100;0.0274658;0.838076;
0.13;0.44946;1;0;315.802;1.33268;29.9843;100;0.0274658;0.812561;
0.133333;0.451423;1;0;321.313;1.35623;29.9823;100;0.0274658;0.777233;
0.136667;0.44946;1;0;327.386;1.41119;29.9804;100;0.0274658;0.757605;
